detector_name,split,fpr,tpr,threshold
svm_tfidf,test,0.013059000375798572,0.9973333333333333,0.1255630444151224
svm_tfidf,test,0.013059000375798572,0.9975238095238095,0.12548494800443138
svm_tfidf,test,0.013152950018789928,0.9975238095238095,0.12536878050648873
svm_tfidf,test,0.013152950018789928,0.9977142857142857,0.12443696406232145
svm_tfidf,test,0.013340849304772641,0.9977142857142857,0.12105109696138916
svm_tfidf,test,0.013340849304772641,0.9979047619047619,0.12050623815224565
svm_tfidf,test,0.013716647876738068,0.9979047619047619,0.1172806184815741
svm_tfidf,test,0.013716647876738068,0.9980952380952381,0.11457279160313628
svm_tfidf,test,0.01503194287861706,0.9980952380952381,0.10335341169345168
svm_tfidf,test,0.01503194287861706,0.9982857142857143,0.10157025088276975
svm_tfidf,test,0.015407741450582487,0.9982857142857143,0.09697407667042848
svm_tfidf,test,0.015407741450582487,0.9984761904761905,0.0960305615776321
svm_tfidf,test,0.017944381811349115,0.9984761904761905,0.07358461099506414
svm_tfidf,test,0.017944381811349115,0.9986666666666667,0.07327630291564942
svm_tfidf,test,0.01832018038331454,0.9986666666666667,0.07126306131623732
svm_tfidf,test,0.01832018038331454,0.9988571428571429,0.07071684701798564
svm_tfidf,test,0.028560691469372415,0.9988571428571429,0.027437209582290626
svm_tfidf,test,0.028560691469372415,0.9990476190476191,0.02740620017539058
svm_tfidf,test,0.03457346862081924,0.9990476190476191,0.018592561554057297
svm_tfidf,test,0.03457346862081924,0.9992380952380953,0.018592108427271856
svm_tfidf,test,0.036452461480646375,0.9992380952380953,0.01647747648546932
svm_tfidf,test,0.036452461480646375,0.9994285714285714,0.016445812261781056
svm_tfidf,test,0.06257046223224352,0.9994285714285714,0.005506508446605694
svm_tfidf,test,0.06257046223224352,0.9996190476190476,0.005489242522637488
svm_tfidf,test,0.09582863585118377,0.9996190476190476,0.001950006228617113
svm_tfidf,test,0.09582863585118377,0.9998095238095238,0.0019492428059632166
svm_tfidf,test,0.2549793310785419,0.9998095238095238,0.00012636550181196598
svm_tfidf,test,0.2549793310785419,1.0,0.000126276034341188
svm_tfidf,test,1.0,1.0,3.856020269632811e-12
xgboost_tfidf,test,0.0,0.0,inf
xgboost_tfidf,test,0.0,0.00019047619047619048,0.9993818998336792
xgboost_tfidf,test,0.0,0.0074285714285714285,0.9989081621170044
xgboost_tfidf,test,0.0,0.00780952380952381,0.9988981485366821
xgboost_tfidf,test,0.0,0.05409523809523809,0.997616171836853
xgboost_tfidf,test,0.0,0.05447619047619048,0.9976074695587158
xgboost_tfidf,test,0.0,0.05466666666666667,0.9976043105125427
xgboost_tfidf,test,0.0,0.05542857142857143,0.9975994229316711
xgboost_tfidf,test,0.0,0.07447619047619047,0.9972129464149475
xgboost_tfidf,test,0.0,0.07504761904761904,0.997209370136261
xgboost_tfidf,test,0.0,0.08038095238095239,0.9971020817756653
xgboost_tfidf,test,0.0,0.08076190476190476,0.997101366519928
xgboost_tfidf,test,0.0,0.1,0.996755063533783
xgboost_tfidf,test,0.0,0.10038095238095238,0.9967535138130188
xgboost_tfidf,test,0.0,0.13504761904761906,0.9960596561431885
xgboost_tfidf,test,0.0,0.13542857142857143,0.9960476756095886
xgboost_tfidf,test,0.0,0.1398095238095238,0.9959732890129089
xgboost_tfidf,test,0.0,0.1401904761904762,0.9959681034088135
xgboost_tfidf,test,0.0,0.16895238095238096,0.9953476786613464
xgboost_tfidf,test,0.0,0.16933333333333334,0.9953462481498718
xgboost_tfidf,test,0.0,0.17904761904761904,0.9951124787330627
xgboost_tfidf,test,0.0,0.17942857142857144,0.995111882686615
xgboost_tfidf,test,0.0,0.1921904761904762,0.9947611689567566
xgboost_tfidf,test,0.0,0.19257142857142856,0.9947549104690552
xgboost_tfidf,test,0.0,0.19428571428571428,0.9947026371955872
xgboost_tfidf,test,0.0,0.19466666666666665,0.994699239730835
xgboost_tfidf,test,0.0,0.21123809523809522,0.9942967295646667
xgboost_tfidf,test,0.0,0.21161904761904762,0.9942924976348877
xgboost_tfidf,test,0.0,0.22342857142857142,0.9940495491027832
xgboost_tfidf,test,0.0,0.22380952380952382,0.9940458536148071
xgboost_tfidf,test,0.0,0.224,0.9940435290336609
xgboost_tfidf,test,0.0,0.22438095238095238,0.9940381050109863
xgboost_tfidf,test,0.0,0.2438095238095238,0.9934321641921997
xgboost_tfidf,test,0.0,0.24419047619047618,0.9934252500534058
xgboost_tfidf,test,0.0,0.248,0.9933211207389832
xgboost_tfidf,test,0.0,0.24838095238095237,0.9933069348335266
xgboost_tfidf,test,0.0,0.25047619047619046,0.9932241439819336
xgboost_tfidf,test,0.0,0.25085714285714283,0.9932211637496948
xgboost_tfidf,test,0.0,0.2723809523809524,0.992626965045929
xgboost_tfidf,test,0.0,0.27276190476190476,0.9926267266273499
